source,symbol,event,h,n,mean_bp,t,uncond_bp,hot_bp,hot_t,hot_n,calm_bp,calm_t,calm_n
crypto,flow_ATOMUSDT,ofi_up,1,0,,,0.09279050265448845,,,0,,,0
crypto,flow_ATOMUSDT,ofi_up,2,0,,,0.11459661099806959,,,0,,,0
crypto,flow_ATOMUSDT,ofi_up,5,0,,,0.17897248594570006,,,0,,,0
crypto,flow_ATOMUSDT,ofi_up,15,0,,,0.3798550153073807,,,0,,,0
crypto,flow_ATOMUSDT,ofi_up,60,0,,,1.2363878322142083,,,0,,,0
crypto,flow_ATOMUSDT,ofi_dn,1,0,,,-0.09279050265448845,,,0,,,0
crypto,flow_ATOMUSDT,ofi_dn,2,0,,,-0.11459661099806959,,,0,,,0
crypto,flow_ATOMUSDT,ofi_dn,5,0,,,-0.17897248594570006,,,0,,,0
crypto,flow_ATOMUSDT,ofi_dn,15,0,,,-0.3798550153073807,,,0,,,0
crypto,flow_ATOMUSDT,ofi_dn,60,0,,,-1.2363878322142083,,,0,,,0
crypto,flow_ATOMUSDT,assault_up,1,872,0.3926957633630517,0.7686117323593146,0.09279050265448845,-0.9414672782793981,-0.5077647509566529,155,0.6811131573024934,1.433719574307469,717
crypto,flow_ATOMUSDT,assault_up,2,847,0.015624783804604083,0.023334858363744247,0.11459661099806959,-1.3064262443498715,-0.5092357729962695,152,0.3047640014729212,0.5135193855159061,695
crypto,flow_ATOMUSDT,assault_up,5,805,1.5101619328468274,1.7194993326385564,0.17897248594570006,3.661169299484197,1.1178167988856493,146,1.0336109836373344,1.3067429285606262,659
crypto,flow_ATOMUSDT,assault_up,15,702,2.684065209764308,1.966368197482077,0.3798550153073807,8.347751152483946,1.7261483440272187,132,1.3724747809239701,1.0974580600912571,570
crypto,flow_ATOMUSDT,assault_up,60,486,3.601203389985696,1.2609433255879434,1.2363878322142083,19.332319897771157,2.054794078750747,84,0.3141044182096303,0.11145633112114615,402
crypto,flow_ATOMUSDT,assault_dn,1,797,-0.5689954491579648,-1.2208212457913357,-0.09279050265448845,0.7058859548363735,0.43292631668147535,139,-0.8383093019774376,-1.8736436595124992,658
