strategy,symbol,level_step_frac,touch_threshold,train_total_return_%,train_buy_hold_%,train_sharpe,train_max_drawdown_%,train_trades,train_win_rate_%,test_total_return_%,test_buy_hold_%,test_sharpe,test_max_drawdown_%,test_trades,test_win_rate_%,rsi_period,pivot_order,max_pivot_gap,window,entry_z,exit_z,min_corr
rsi_divergence,aapl.us,,,27.778801046658153,190.53304653234076,0.8661389852757823,-18.656361109775165,3,33.33333333333333,0.0,45.94331891211954,0.0,0.0,0,0.0,21.0,7.0,90.0,,,,
rsi_divergence,aapl.us,,,27.778801046658153,190.53304653234076,0.8661389852757823,-18.656361109775165,3,33.33333333333333,0.0,45.94331891211954,0.0,0.0,0,0.0,21.0,7.0,60.0,,,,
rsi_divergence,aapl.us,,,27.778801046658153,190.53304653234076,0.8661389852757823,-18.656361109775165,3,33.33333333333333,0.0,45.94331891211954,0.0,0.0,0,0.0,21.0,7.0,30.0,,,,
rsi_divergence,aapl.us,,,27.778801046658153,190.53304653234076,0.8661389852757823,-18.656361109775165,3,33.33333333333333,0.0,45.94331891211954,0.0,0.0,0,0.0,14.0,7.0,90.0,,,,
rsi_divergence,aapl.us,,,27.778801046658153,190.53304653234076,0.8661389852757823,-18.656361109775165,3,33.33333333333333,0.0,45.94331891211954,0.0,0.0,0,0.0,14.0,7.0,60.0,,,,
rsi_divergence,aapl.us,,,27.778801046658153,190.53304653234076,0.8661389852757823,-18.656361109775165,3,33.33333333333333,0.0,45.94331891211954,0.0,0.0,0,0.0,14.0,7.0,30.0,,,,
correlation,btc.v,,,134.36284025528886,754.9764529929395,0.8138833971311545,-28.142330621392553,40,40.0,-14.288918625948332,15.517794081321235,-0.4642931323230981,-38.0432467552149,10,20.0,,,,30.0,1.5,0.0,0.7
round_numbers,btc.v,0.1,0.01,183.17976972214188,754.9764529929395,0.786779627692672,-56.855067356470734,148,41.21621621621622,-0.0411649670904124,15.517794081321235,0.15690776738996268,-43.86729342656308,42,35.714285714285715,,,,,,,
round_numbers,btc.v,0.1,0.005,183.5688936119893,754.9764529929395,0.7866174542646217,-62.5460594621893,175,44.0,-13.375888568968708,15.517794081321235,-0.06181940240040722,-47.07321797644336,45,28.888888888888886,,,,,,,
correlation,btc.v,,,107.85208483760051,754.9764529929395,0.7312157302651169,-28.14233062139252,42,40.476190476190474,-19.555976304594935,15.517794081321235,-0.7418849789321129,-35.13571972931177,11,18.181818181818183,,,,30.0,1.5,0.5,0.7
correlation,btc.v,,,86.4179260718919,754.9764529929395,0.6977283599115658,-32.047909740772006,31,48.38709677419355,-18.328939987248273,15.517794081321235,-0.803114239833101,-31.098311345585362,8,12.5,,,,50.0,1.5,0.5,0.7
rsi_divergence,aapl.us,,,28.126356666783494,190.53304653234076,0.6927959021945643,-20.69395893303326,5,20.0,0.0,45.94331891211954,0.0,0.0,0,0.0,7.0,7.0,60.0,,,,
rsi_divergence,aapl.us,,,28.126356666783494,190.53304653234076,0.6927959021945643,-20.69395893303326,5,20.0,0.0,45.94331891211954,0.0,0.0,0,0.0,7.0,7.0,90.0,,,,
correlation,btc.v,,,80.07246157154364,754.9764529929395,0.6882744370402192,-24.571859922592232,32,53.125,-23.59167295290603,15.517794081321235,-1.241148475289352,-30.957438482663925,10,10.0,,,,50.0,1.5,1.0,0.7
correlation,btc.v,,,69.65100431150968,754.9764529929395,0.6465323552258387,-28.228997328287676,30,46.666666666666664,-0.7850577992246865,15.517794081321235,0.02779782513987146,-19.389147069887148,9,44.44444444444444,,,,20.0,2.0,0.0,0.7
round_numbers,btc.v,0.1,0.003,116.65073159927405,754.9764529929395,0.6362385747455901,-63.906736425485676,181,40.88397790055249,-27.156122727015685,15.517794081321235,-0.32162570041455874,-49.71756288988946,48,25.0,,,,,,,
correlation,btc.v,,,75.14049021771119,754.9764529929395,0.5876283329875573,-33.962300239649956,51,43.13725490196079,-22.260422807339207,15.517794081321235,-0.7633245129766812,-40.39920039567413,16,31.25,,,,20.0,1.5,0.0,0.7
rsi_divergence,aapl.us,,,24.725618120333625,190.53304653234076,0.5772739446939521,-25.45978939597586,9,44.44444444444444,13.100041972638476,45.94331891211954,0.9541117227466449,-10.192377952296972,1,0.0,7.0,3.0,90.0,,,,
rsi_divergence,aapl.us,,,24.725618120333625,190.53304653234076,0.5772739446939521,-25.45978939597586,9,44.44444444444444,13.100041972638476,45.94331891211954,0.9541117227466449,-10.192377952296972,1,0.0,7.0,3.0,60.0,,,,
rsi_divergence,aapl.us,,,24.725618120333625,190.53304653234076,0.5772739446939521,-25.45978939597586,9,44.44444444444444,13.100041972638476,45.94331891211954,0.9541117227466449,-10.192377952296972,1,0.0,7.0,3.0,30.0,,,,
round_numbers,btc.v,0.05,0.005,86.35848312289039,754.9764529929395,0.5552411166289919,-59.03562798002648,260,44.61538461538462,-12.436753550396517,15.517794081321235,-0.07710392192109647,-47.07321797644334,51,35.294117647058826,,,,,,,
correlation,btc.v,,,52.38309806834971,754.9764529929395,0.5422869187675342,-28.63808543009614,30,43.333333333333336,0.41288365858527243,15.517794081321235,0.0762286509608432,-16.683846592285477,9,44.44444444444444,,,,20.0,2.0,0.5,0.7
correlation,btc.v,,,57.2285934535883,754.9764529929395,0.5278976866690227,-37.28157953910265,30,46.666666666666664,-18.792789099686967,15.517794081321235,-0.7100784085770601,-34.58287044968876,8,12.5,,,,50.0,1.5,0.0,0.7
round_numbers,btc.v,0.1,0.001,78.45549406631709,754.9764529929395,0.5220948648566012,-63.49367736284594,194,39.175257731958766,-27.31269916771344,15.517794081321235,-0.33271380750213037,-47.47566553650243,50,24.0,,,,,,,
round_numbers,btc.v,0.02,0.005,74.73967637647053,754.9764529929395,0.5192452254700091,-55.049626216480064,315,46.666666666666664,-31.15648592737451,15.517794081321235,-0.5808079293586396,-49.943026441498226,152,47.368421052631575,,,,,,,
correlation,btc.v,,,37.297357574441456,754.9764529929395,0.5120301913744272,-19.991272487782364,14,50.0,14.940813929441909,15.517794081321235,0.7441943924317378,-12.926212438953378,5,60.0,,,,20.0,2.5,0.5,0.7
correlation,btc.v,,,54.04113518903411,754.9764529929395,0.5056176083811249,-36.58473655231709,45,37.77777777777778,-9.817332240493448,15.517794081321235,-0.3944733811718436,-25.71631406325907,12,25.0,,,,30.0,1.5,1.0,0.7
correlation,btc.v,,,61.87144182082047,754.9764529929395,0.5007891062073978,-41.91459696669047,53,33.9622641509434,-18.737242323734304,15.517794081321235,-0.6412926823790467,-41.25874338970367,11,18.181818181818183,,,,30.0,1.5,0.0,0.5
correlation,btc.v,,,35.5296739684134,754.9764529929395,0.4933548130109971,-21.224901520154692,14,50.0,13.64430599332518,15.517794081321235,0.6582204956405221,-15.698071516773426,5,60.0,,,,20.0,2.5,0.0,0.7
correlation,btc.v,,,45.030500838543276,754.9764529929395,0.47289369140769,-39.809211688823666,35,42.857142857142854,-5.668713162922523,15.517794081321235,-0.1655471621029981,-22.906677036529842,10,40.0,,,,20.0,2.0,0.0,0.5
rsi_divergence,aapl.us,,,18.714196537234386,190.53304653234076,0.4717804234261401,-20.46183460548353,6,16.666666666666664,18.395705165409204,45.94331891211954,1.7745450262746738,-2.51968503937009,0,0.0,7.0,5.0,60.0,,,,
rsi_divergence,aapl.us,,,18.714196537234386,190.53304653234076,0.4717804234261401,-20.46183460548353,6,16.666666666666664,18.395705165409204,45.94331891211954,1.7745450262746738,-2.51968503937009,0,0.0,7.0,5.0,30.0,,,,
rsi_divergence,aapl.us,,,18.714196537234386,190.53304653234076,0.4717804234261401,-20.46183460548353,6,16.666666666666664,18.395705165409204,45.94331891211954,1.7745450262746738,-2.51968503937009,0,0.0,7.0,5.0,90.0,,,,
correlation,btc.v,,,34.10889150873449,754.9764529929395,0.47036079048953405,-24.143649437375323,16,50.0,9.925264004202482,15.517794081321235,0.48884903651601874,-16.725758603296793,6,50.0,,,,20.0,2.5,0.5,0.5
