symbol,oos_return_%,oos_sharpe,oos_max_dd_%,trades,n_windows
aapl.us,15.472881246670745,1.0280347248567974,-6.286058067725541,4,17
brk-b.us,10.770889796155814,0.7249613277046703,-3.559052913364613,4,17
nflx.us,6.92486949966753,0.44138099752159726,-6.188972676471272,7,17
crm.us,5.852575641545776,0.40035024402542824,-5.973107929409638,6,17
amzn.us,5.608576966894496,0.3979547830210123,-4.3260670812169995,5,17
ma.us,5.8072021472744595,0.3736117999365628,-4.575712490333849,6,17
jnj.us,5.9780696568378255,0.37026119921702166,-7.515377623517394,6,17
v.us,6.875473550299516,0.3440751192351314,-6.646223497160431,5,17
unh.us,3.343024838372455,0.260278566931464,-5.919688367269693,5,17
hd.us,2.7999100372721575,0.20845325660514707,-5.354371869244723,5,17
googl.us,1.9228225545823152,0.19783158213814778,-3.544736453245212,4,17
jpm.us,2.374029796928312,0.17846005364330772,-3.807200912531905,5,17
bac.us,4.945662574863063,0.17245148893763296,-21.32360714061816,3,17
adbe.us,1.783970753342734,0.14930988006270354,-5.736667150392593,3,17
meta.us,0.8780751195344605,0.0651784666372955,-8.360040660136958,7,17
tsla.us,0.6413837328271166,0.06016825191547062,-7.318296984710959,7,17
pg.us,-0.8202360469855452,-0.058527824869838325,-7.202572701968024,7,17
nvda.us,-0.9371038012620292,-0.0723321795147303,-7.6333763994334785,3,17
msft.us,-2.6834299842929954,-0.1682100626084114,-7.262317196640833,4,17
dis.us,-9.126726934796936,-0.6231334002238536,-9.396319961955935,9,17
