symbol,variant,total_return_%,buy_hold_%,sharpe,max_drawdown_%,trades,win_rate_%
btc.v,round_levels,1.2608001969015126,-0.5722101229123089,0.139968256019525,-26.632853351038634,40,5.0
btc.v,rsi_divergence,0.3468860596696155,-0.5722101229123089,0.07204793241225539,-13.434393813506684,25,24.0
btc.v,exhaustion,-16.856100249862305,-0.5722101229123089,-0.5051899059568928,-24.657629721672293,61,37.704918032786885
btc.v,fair_price,-46.64851563007466,-0.5722101229123089,-1.216318501449835,-55.15606388509839,330,46.36363636363636
btc.v,lead_lag,-33.085977303006175,-0.5722101229123089,-0.8818331812376646,-38.1981887064191,100,32.0
btc.v,ensemble,-27.105928562954297,-0.5722101229123089,-0.8819332927557729,-29.218942219613552,114,41.228070175438596
eth.v,round_levels,-32.58433679542644,-39.32252991326,-0.4664333948162012,-52.432202231590665,84,3.571428571428571
eth.v,rsi_divergence,-26.875678758961087,-39.32252991326,-1.0456275785900566,-37.57957446256499,25,8.0
eth.v,exhaustion,-16.66188699432186,-39.32252991326,-0.3057806554872434,-29.546434930912156,149,40.26845637583892
eth.v,fair_price,-49.93927398694493,-39.32252991326,-1.0224193954104177,-51.74945228867689,352,42.61363636363637
eth.v,lead_lag,15.193460102971358,-39.32252991326,0.4753717316404113,-18.991526656011704,28,32.142857142857146
eth.v,ensemble,-1.170780257170012,-39.32252991326,0.06882976119456369,-23.592259123943894,141,43.262411347517734
