time,ансамбль 60/120/250,один N=60,один N=120,один N=250,всегда лонг (вол-норм.),B&H равные доли
2018-10-23,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-02,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-06,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-07,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-08,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-09,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-12,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-13,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-14,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-15,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-16,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-19,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-20,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-21,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-22,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-23,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-26,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-27,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-28,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-29,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-30,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-03,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-04,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-05,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-06,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-07,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-10,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-11,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-12,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-13,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-14,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-17,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-18,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-19,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-20,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-21,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-24,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-25,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-26,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-27,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-28,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-29,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-03,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-04,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-08,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-09,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-10,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-11,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-14,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-15,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-16,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-17,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-18,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-21,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-22,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-23,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-24,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-25,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-28,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-29,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-30,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-31,0.9997737687585799,0.9993213062757397,1.0,1.0,1.0,1.0
2019-02-01,1.001181731483119,1.0035432828659667,1.0,1.0,1.0,1.0
2019-02-04,1.000591215715892,1.0017675569023623,1.0,1.0,1.0,1.0
2019-02-05,0.9991733921846604,0.9975090857324416,1.0,1.0,1.0,1.0
2019-02-06,1.000730890570899,1.0021737979939125,1.0,1.0,1.0,1.0
2019-02-07,0.999890976697145,0.9996504232741587,1.0,1.0,1.0,1.0
2019-02-08,1.000545910610476,1.0016147523228327,1.0,1.0,1.0,1.0
2019-02-11,1.0019834064199442,1.0059318466027558,1.0,1.0,1.0,1.0
2019-02-12,0.9989895298341251,0.996914823616614,1.0,1.0,1.0,1.0
2019-02-13,0.9976688884802636,0.9929611276978062,1.0,1.0,1.0,1.0
2019-02-14,0.996877172582963,0.9905971877595849,1.0,1.0,1.0,1.0
2019-02-15,0.993135991157725,0.979444347969493,1.0,1.0,1.0,1.0
2019-02-18,0.991047812383221,0.9732661762494643,1.0,1.0,1.0,1.0
2019-02-19,0.990528674696483,0.9717367066971221,1.0,1.0,1.0,1.0
2019-02-20,0.9905495075985168,0.9717980196993515,1.0,1.0,1.0,1.0
2019-02-21,0.9917939003408357,0.9754605274087712,1.0,1.0,1.0,1.0
2019-02-22,0.9922429282141836,0.9767854265617304,1.0,1.0,1.0,1.0
2019-02-25,0.9908156110715121,0.9725701808459886,1.0,1.0,1.0,1.0
2019-02-26,0.9884997673851984,0.9657505854914907,1.0,1.0,1.0,1.0
2019-02-27,0.9897893280396598,0.9695302342020837,1.0,1.0,1.0,1.0
2019-02-28,0.9897161546525074,0.969315207198336,1.0,1.0,1.0,1.0
2019-03-01,0.9890761707963729,0.9674348314526343,1.0,1.0,1.0,1.0
2019-03-04,0.9897949808177201,0.9695440780578436,1.0,1.0,1.0,1.0
2019-03-05,0.988515854576884,0.9657852109310376,1.0,1.0,1.0,1.0
2019-03-06,0.9890159208959123,0.9672509132356576,1.0,1.0,1.0,1.0
2019-03-07,0.9880216229040597,0.9643336630064301,1.0,1.0,1.0,1.0
2019-03-11,0.9891879263459589,0.9677486864560115,1.0,1.0,1.0,1.0
2019-03-12,0.9900464450144635,0.9702684209522028,1.0,1.0,1.0,1.0
2019-03-13,0.9905086672207392,0.9716273863193444,1.0,1.0,1.0,1.0
2019-03-14,0.9890330374261497,0.9672848832158181,1.0,1.0,1.0,1.0
2019-03-15,0.9902975345655501,0.9709949583746664,1.0,1.0,1.0,1.0
2019-03-18,0.9930126493648868,0.9789815362147929,1.0,1.0,1.0,1.0
2019-03-19,0.9935161533856707,0.9804707049783713,1.0,1.0,1.0,1.0
2019-03-20,0.9944474157567045,0.9832278080320129,1.0,1.0,1.0,1.0
2019-03-21,0.9967980925576972,0.9902002756410916,1.0,1.0,1.0,1.0
2019-03-22,0.9921745003508594,0.9764213098349412,1.0,1.0,1.0,1.0
2019-03-25,0.9958833332644188,0.9873711482659915,1.0,1.0,1.0,1.0
2019-03-26,0.996090921124568,0.9879885888546491,1.0,1.0,1.0,1.0
2019-03-27,0.993348132063171,0.9798271522724256,1.0,1.0,1.0,1.0
2019-03-28,0.9921572506332929,0.9763031371085533,1.0,1.0,1.0,1.0
2019-03-29,0.9911186450798972,0.9732371094420177,1.0,1.0,1.0,1.0
2019-04-01,0.9927103720715778,0.9779261376953783,1.0,1.0,1.0,1.0
2019-04-02,0.9931660910238067,0.9792729337620832,1.0,1.0,1.0,1.0
2019-04-03,0.9933038912661102,0.9796805515274498,1.0,1.0,1.0,1.0
2019-04-04,0.9926864123598854,0.9778535213082215,1.0,1.0,1.0,1.0
2019-04-05,0.994117105888323,0.982081468887467,1.0,1.0,1.0,1.0
2019-04-08,0.9952695728318495,0.985497011448918,1.0,1.0,1.0,1.0
2019-04-09,0.9963013596957971,0.9885619786657283,1.0,1.0,1.0,1.0
2019-04-10,0.9995307703568301,0.9981749513730112,1.0,1.0,1.0,1.0
2019-04-11,0.9956175337043439,0.9864511658093749,1.0,1.0,1.0,1.0
2019-04-12,0.9964191914451156,0.9888339971262019,1.0,1.0,1.0,1.0
2019-04-15,0.9957808738435954,0.9869336218099702,1.0,1.0,1.0,1.0
2019-04-16,0.9948711973092033,0.9842288389194397,1.0,1.0,1.0,1.0
2019-04-17,0.9967249720015997,0.9897306722765125,1.0,1.0,1.0,1.0
2019-04-18,0.9960768775770865,0.9878000325860552,1.0,1.0,1.0,1.0
2019-04-19,0.9958277670696414,0.987058910973122,1.0,1.0,1.0,1.0
2019-04-22,0.9983363135807913,0.9945182827720447,1.0,1.0,1.0,1.0
2019-04-23,0.9992861555669115,0.9973569110221369,1.0,1.0,1.0,1.0
2019-04-24,0.9973941315941645,0.9916917974572396,1.0,1.0,1.0,1.0
2019-04-25,0.9953393043540768,0.9855715084202075,1.0,1.0,1.0,1.0
2019-04-26,0.9937520845624533,0.9779335637395186,1.0289725461729546,1.0,1.0,1.0
2019-04-29,0.995509985748853,0.9825849257728756,1.02802883148761,1.0,1.0,1.0
2019-04-30,0.9935027146891636,0.9783314446027119,1.0199723051388825,1.0,1.0,1.0
2019-05-02,0.991281862340424,0.9699981143611374,1.0419465413491589,1.0,1.0,1.0
2019-05-03,0.9922850433497958,0.9740989484472412,1.0286377155560982,1.0,1.0,1.0
2019-05-06,0.9907231195377032,0.9695179780119938,1.0333896612377724,1.0,1.0,1.0
2019-05-07,0.9895416501154529,0.9657053459651795,1.0398915748365305,1.0,1.0,1.0
2019-05-08,0.9899271269069758,0.9665727215893302,1.042124953157881,1.0,1.0,1.0
2019-05-10,0.987029920533961,0.9576844879900899,1.0455637013840327,1.0,1.0,1.0
2019-05-13,0.9862158223829947,0.9552399070571815,1.0462130071322235,1.0,1.0,1.0
2019-05-14,0.9937592582204879,0.9766476505696006,1.0506637489516073,1.0,1.0,1.0
2019-05-15,0.9962529732474863,0.9831879193930747,1.0576005815600824,1.0,1.0,1.0
2019-05-16,0.9991662125139961,0.9907673288360189,1.0665318291710193,1.0,1.0,1.0
2019-05-17,0.9978665752722014,0.9876743848749114,1.0598732653334781,1.0,1.0,1.0
2019-05-20,0.9983763131369692,0.9891067037817873,1.0605709976972844,1.0,1.0,1.0
2019-05-21,1.001424898472481,0.9987483620952656,1.0592123975791459,1.0,1.0,1.0
2019-05-22,1.0021378674558075,1.0020862916602071,1.0557934542680207,1.0,1.0,1.0
2019-05-23,0.9964635989824341,0.9887548723168845,1.035199807639334,1.0,1.0,1.0
2019-05-24,0.9973766788759204,0.9912001570742361,1.0390785209529785,1.0,1.0,1.0
2019-05-27,0.999798867778463,0.9962670624358655,1.0494156789312887,1.0,1.0,1.0
2019-05-28,0.9983731443040214,0.991872602506435,1.0441728255081304,1.0,1.0,1.0
2019-05-29,0.9965992115419098,0.9899190887741542,1.035820831587492,1.0,1.0,1.0
2019-05-30,0.9969043428624074,0.9915900868724837,1.0359768392896846,1.0,1.0,1.0
2019-05-31,0.9942277882763297,0.9869605765858078,1.0302536038781807,1.0,1.0,1.0
2019-06-03,0.9993015462217714,1.0022362528481639,1.0350631519005804,1.0,1.0,1.0
2019-06-04,0.9979585316025832,0.9979587083374301,1.03076214378641,1.0,1.0,1.0
2019-06-05,0.9981069522235918,1.0008026244799808,1.027877191092619,1.0,1.0,1.0
2019-06-06,1.0008284328523822,1.0071673414249969,1.032851788637171,1.0,1.0,1.0
2019-06-07,1.000541406343228,1.007924073728456,1.0323501906774906,1.0,1.0,1.0
2019-06-10,1.0012836866733488,1.0090756895031052,1.0322918570276034,1.0,1.0,1.0
2019-06-11,1.004480021399889,1.0151961016994906,1.0359686704557742,1.0,1.0,1.0
2019-06-13,1.0072768145656368,1.0216038087881334,1.0407420590510048,1.0,1.0,1.0
2019-06-14,1.0082085184904968,1.0234875037683082,1.0438291676092868,1.0,1.0,1.0
2019-06-17,1.0076964410453007,1.0224403742730381,1.0418874067002462,1.0,1.0,1.0
2019-06-18,1.012904392612195,1.0294105157239832,1.0507280070018101,1.0,1.0,1.0
2019-06-19,1.013104544563155,1.0299026621120135,1.0505643332871026,1.0,1.0,1.0
2019-06-20,1.0235959768624687,1.0424560569795343,1.0678784160689727,1.0,1.0,1.0
2019-06-21,1.0183167102040478,1.0345442469141912,1.0619076755360455,1.0,1.0,1.0
2019-06-24,1.0240860095655586,1.0429577585464285,1.0687334029798852,1.0,1.0,1.0
2019-06-25,1.024224116560346,1.0420590015753326,1.0700317331925504,1.0,1.0,1.0
2019-06-26,1.0236666870217226,1.0402869704399857,1.0705513905131496,1.0,1.0,1.0
2019-06-27,1.0230708243419575,1.0396852402876167,1.0695071287048672,1.0,1.0,1.0
2019-06-28,1.0216739259908774,1.0373285209016645,1.0681049560745448,1.0,1.0,1.0
2019-07-01,1.0291283075909516,1.04791923099111,1.07737907100262,1.0,1.0,1.0
2019-07-02,1.026534138753319,1.046759917197908,1.0716542791607782,1.0,1.0,1.0
2019-07-03,1.029031651225201,1.049890194152162,1.0753314978605415,1.0,1.0,1.0
2019-07-04,1.0321584900155045,1.053417247376053,1.0802716243925323,1.0,1.0,1.0
2019-07-05,1.0277679071649704,1.0469998684411532,1.0748328138717043,1.0,1.0,1.0
2019-07-08,1.0301325567536903,1.0495414341736844,1.078525994076741,1.0,1.0,1.0
2019-07-09,1.028373591115002,1.0475672745680509,1.0758769721902877,1.0,1.0,1.0
2019-07-10,1.0335994335921823,1.0521040832612165,1.085231545164364,1.0,1.0,1.0
2019-07-11,1.0322045931881294,1.0493706786642125,1.0839421833823153,1.0,1.0,1.0
2019-07-12,1.0288378970905196,1.0451278873990966,1.0791591709709647,1.0,1.0,1.0
2019-07-15,1.0297933608752285,1.0464265853358987,1.0801004076629483,1.0,1.0,1.0
2019-07-16,1.0275876796868537,1.0434912356623856,1.077092886646888,1.0,1.0,1.0
2019-07-17,1.0274042404017418,1.0460698547633276,1.0739509272783903,1.0,1.0,1.0
2019-07-18,1.0250241611708912,1.0457973275276737,1.0678789630603196,1.0,1.0,1.0
