test,w_round_levels,w_rsi_divergence,w_exhaustion,w_fair_price,w_lead_lag,entry,exit,train_sharpe,test_sharpe,test_return_%,test_trades
2021-05-15–2021-09-16,1.0,0.0,0.0,0.0,0.0,0.5,-1.0,2.65,0.151,-4.23,2
2021-09-17–2022-01-19,0.0,0.0,0.0,1.0,0.0,0.5,-1.0,2.727,-1.979,-2.21,1
2022-01-20–2022-05-24,1.0,0.0,0.0,0.0,0.0,1.0,-0.5,2.741,-1.495,-2.3,6
2022-05-25–2022-09-26,0.0,1.0,1.0,1.0,1.0,1.5,-1.0,2.397,0.0,0.0,0
2022-09-27–2023-01-29,0.0,1.0,1.0,1.0,1.0,1.5,-1.0,1.714,1.556,0.7,0
2023-01-30–2023-06-03,0.0,1.0,1.0,1.0,2.0,1.5,-1.0,1.708,0.625,0.59,1
2023-06-04–2023-10-06,1.0,1.0,1.0,0.0,1.0,0.5,-0.5,1.802,1.238,1.84,1
2023-10-07–2024-02-08,1.0,0.0,0.0,1.0,0.0,1.0,-0.5,2.047,0.75,1.61,4
2024-02-09–2024-06-12,1.0,0.0,1.0,0.0,1.0,0.5,-0.5,2.103,0.658,1.46,5
2024-06-13–2024-10-15,0.0,0.0,1.0,0.0,2.0,1.5,-0.5,2.483,2.496,1.83,1
2024-10-16–2025-02-17,0.0,0.0,1.0,0.0,0.0,0.5,-0.5,2.475,1.121,0.73,1
2025-02-18–2025-06-22,0.0,0.0,1.0,0.0,2.0,1.5,-1.0,2.405,0.0,0.0,0
2025-06-23–2025-10-25,0.0,1.0,0.0,1.0,1.0,1.5,-1.0,1.312,0.0,0.0,0
2025-10-26–2026-02-27,0.0,0.0,1.0,1.0,0.0,0.5,-0.5,1.212,-2.708,-4.49,5
